date,close,high,low,open,volume,ticker,sector,company
2023-06-30,11.323233604431152,11.323233604431152,11.323233604431152,11.323233604431152,0,FFBL.KA,Fertilizer,FFBL
2023-07-03,12.284459114074707,12.284459114074707,11.102152431551803,12.197948690144566,3157500,FFBL.KA,Fertilizer,FFBL
2023-07-04,11.986479759216309,12.409418488277359,11.842295414059949,12.409418488277359,983500,FFBL.KA,Fertilizer,FFBL
2023-07-05,12.255621910095215,12.543989667789562,12.015315598132563,12.015315598132563,2744500,FFBL.KA,Fertilizer,FFBL
2023-07-06,12.17872428894043,12.303683684502623,12.034540864589513,12.303683684502623,234000,FFBL.KA,Fertilizer,FFBL
2023-07-07,12.601662635803223,12.97654081147866,12.063377011787846,12.063377011787846,1152000,FFBL.KA,Fertilizer,FFBL
2023-07-10,12.563214302062988,12.736235148364583,12.486316351861362,12.505541297759706,680000,FFBL.KA,Fertilizer,FFBL
2023-07-11,13.447541236877441,13.524439184739112,12.5920513377424,12.96692860439408,3673500,FFBL.KA,Fertilizer,FFBL
2023-07-12,13.783970832824707,13.889705284925551,13.216847763919722,13.447541613973856,2099500,FFBL.KA,Fertilizer,FFBL
2023-07-13,13.341806411743164,14.024276367304019,13.293744966510124,13.91854100445217,1083500,FFBL.KA,Fertilizer,FFBL
2023-07-14,13.197622299194336,13.437928612726898,13.07266382284974,13.216847244290943,421000,FFBL.KA,Fertilizer,FFBL
2023-07-17,13.072664260864258,13.649398882649056,12.97654136555219,12.97654136555219,369000,FFBL.KA,Fertilizer,FFBL
2023-07-18,12.918867111206055,13.120724452788767,12.851581636243765,13.120724452788767,226500,FFBL.KA,Fertilizer,FFBL
2023-07-19,12.870806694030762,13.120724567517065,12.736234826233636,12.745847298939685,706500,FFBL.KA,Fertilizer,FFBL
2023-07-20,13.063051223754883,13.255296089379419,12.832357385005439,12.832357385005439,470000,FFBL.KA,Fertilizer,FFBL
2023-07-21,12.986153602600098,13.476378709736819,12.640111919117306,13.216847447124724,1069500,FFBL.KA,Fertilizer,FFBL
2023-07-24,13.293745040893555,13.745521161898663,12.909255310269522,12.909255310269522,1454000,FFBL.KA,Fertilizer,FFBL
2023-07-25,13.562888145446777,14.081949751354914,13.361030803332733,13.361030803332733,4725000,FFBL.KA,Fertilizer,FFBL
2023-07-26,13.610949516296387,13.889704804646959,13.4667660941721,13.649398489975919,3278000,FFBL.KA,Fertilizer,FFBL
2023-07-27,13.610949516296387,13.610949516296387,13.610949516296387,13.610949516296387,0,FFBL.KA,Fertilizer,FFBL
2023-07-28,13.610949516296387,13.610949516296387,13.610949516296387,13.610949516296387,0,FFBL.KA,Fertilizer,FFBL
2023-07-31,13.207235336303711,13.553277029267955,13.149562331940254,13.447541660108492,2116500,FFBL.KA,Fertilizer,FFBL
2023-08-01,13.399479866027832,13.553276679316326,13.13033704699071,13.312970361716362,2809500,FFBL.KA,Fertilizer,FFBL
2023-08-02,14.139623641967773,14.4087664586773,13.409092222774643,13.5532765621052,7941500,FFBL.KA,Fertilizer,FFBL
2023-08-03,13.87048053741455,14.51450152298363,13.841643120129373,14.322255741199085,1663500,FFBL.KA,Fertilizer,FFBL
