date,sector,year,month,quarter,month_name,yearmonth,avg_close,avg_daily_return,total_volume,avg_volatility,stock_count
2024-03-01,Technology,2024,3,1,Mar,2024-03,150.6825,-0.006499208641004645,7981035,0.03070788643663791,4
2024-03-04,Banking,2024,3,1,Mar,2024-03,99.088,-0.007095303949072873,9835062,0.012633079623094923,5
2024-03-04,Cement,2024,3,1,Mar,2024-03,252.4675,0.0063850656111824056,5042029,0.018993326458394622,4
2024-03-04,Energy,2024,3,1,Mar,2024-03,89.602,0.03733529403472842,41953880,0.03601563032668813,5
2024-03-04,Fertilizer,2024,3,1,Mar,2024-03,117.75999999999999,0.006190914450212803,4365994,0.020903485002269975,4
2024-03-04,Technology,2024,3,1,Mar,2024-03,152.6225,0.02343461237177319,25068254,0.03097826667911191,4
2024-03-05,Banking,2024,3,1,Mar,2024-03,99.568,0.004541752533392551,3217595,0.012597318719624084,5
2024-03-05,Cement,2024,3,1,Mar,2024-03,252.275,0.0014824318821360094,7211627,0.01901892555208869,4
2024-03-05,Energy,2024,3,1,Mar,2024-03,87.27199999999999,-0.025750932763106492,25132373,0.034697773051415096,5
2024-03-05,Fertilizer,2024,3,1,Mar,2024-03,117.52,-0.0014982922926158604,3001800,0.020883585899070273,4
2024-03-05,Technology,2024,3,1,Mar,2024-03,155.2725,0.021521922963254503,22169541,0.03154213854083659,4
2024-03-06,Banking,2024,3,1,Mar,2024-03,99.95599999999999,0.0023668187616090685,5734473,0.012551921596559573,5
2024-03-06,Cement,2024,3,1,Mar,2024-03,250.725,-0.00554866809677157,3007869,0.018885941771130788,4
2024-03-06,Energy,2024,3,1,Mar,2024-03,87.728,0.0013251598071926773,28968068,0.03457866415324925,5
2024-03-06,Fertilizer,2024,3,1,Mar,2024-03,116.00999999999999,-0.010182021029674249,1835402,0.020605080495300458,4
2024-03-06,Technology,2024,3,1,Mar,2024-03,154.0775,0.0026402681537692207,34523638,0.031501910538869235,4
2024-03-07,Banking,2024,3,1,Mar,2024-03,98.61200000000001,-0.009777157188730424,5914066,0.012777909348360492,5
2024-03-07,Cement,2024,3,1,Mar,2024-03,249.32,-0.0034994643272087678,9865405,0.01870825513331765,4
2024-03-07,Energy,2024,3,1,Mar,2024-03,88.512,0.0028956867331261017,18855384,0.034266210731247845,5
2024-03-07,Fertilizer,2024,3,1,Mar,2024-03,115.0975,-0.0048472176784241094,2478401,0.020313862706347458,4
2024-03-07,Technology,2024,3,1,Mar,2024-03,153.035,-0.004469670856025704,30907233,0.031612577847819005,4
2024-03-08,Banking,2024,3,1,Mar,2024-03,98.17999999999999,-0.0025475470941048297,10224594,0.012769427616763206,5
2024-03-08,Cement,2024,3,1,Mar,2024-03,250.82500000000002,0.003977841484310657,7171166,0.018662462206810136,4
2024-03-08,Energy,2024,3,1,Mar,2024-03,88.978,0.0055257517500400645,15158122,0.03331610910673812,5
2024-03-08,Fertilizer,2024,3,1,Mar,2024-03,115.2975,-0.0015369201499655094,3144907,0.02011165593228157,4
2024-03-08,Technology,2024,3,1,Mar,2024-03,153.25,0.021673784879694874,38564579,0.03219734371576758,4
2024-03-11,Banking,2024,3,1,Mar,2024-03,97.81800000000001,-0.0015497682112891153,1603493,0.012633759450931158,5
2024-03-11,Cement,2024,3,1,Mar,2024-03,252.7175,0.006757102480078436,8101152,0.018684470464880396,4
2024-03-11,Energy,2024,3,1,Mar,2024-03,88.374,-0.00637141819685878,12714662,0.033056529147147275,5
2024-03-11,Fertilizer,2024,3,1,Mar,2024-03,114.8775,0.005775594000165085,2064655,0.019585111437607154,4
2024-03-11,Technology,2024,3,1,Mar,2024-03,153.71499999999997,-0.0022147481142543723,31257686,0.031736294194564856,4
2024-03-12,Banking,2024,3,1,Mar,2024-03,97.60600000000001,-0.002397845623036443,10955282,0.012293451850390292,5
2024-03-12,Cement,2024,3,1,Mar,2024-03,250.28499999999997,-0.020452073210900534,3765217,0.01903883965260726,4
2024-03-12,Energy,2024,3,1,Mar,2024-03,85.62,-0.02766259013135175,12297139,0.03283731785499829,5
2024-03-12,Fertilizer,2024,3,1,Mar,2024-03,113.4125,-0.012717051012726632,692434,0.01937592323129665,4
2024-03-12,Technology,2024,3,1,Mar,2024-03,150.945,-0.03561279540113799,15775403,0.03226787019394899,4
2024-03-13,Banking,2024,3,1,Mar,2024-03,96.77000000000001,-0.013612822014917115,9277483,0.012918371294506353,5
2024-03-13,Cement,2024,3,1,Mar,2024-03,249.01250000000002,-0.009849585679407469,3180255,0.018772331464784707,4
2024-03-13,Energy,2024,3,1,Mar,2024-03,83.234,-0.022640918569309033,10950698,0.03262446655207636,5
2024-03-13,Fertilizer,2024,3,1,Mar,2024-03,113.1475,-0.005424716705914462,1095048,0.01895551935077262,4
2024-03-13,Technology,2024,3,1,Mar,2024-03,146.7575,-0.04302914345678194,14426976,0.03242827148185449,4
2024-03-14,Banking,2024,3,1,Mar,2024-03,96.708,0.0008092595934635849,3245822,0.012786793592682833,5
2024-03-14,Cement,2024,3,1,Mar,2024-03,252.57,0.020672922834073293,3570893,0.019179936308984867,4
2024-03-14,Energy,2024,3,1,Mar,2024-03,86.806,0.0389734861371871,10219096,0.033441567057635624,5
2024-03-14,Fertilizer,2024,3,1,Mar,2024-03,113.66000000000001,0.008875972756319295,1399316,0.018879822665408573,4
2024-03-14,Technology,2024,3,1,Mar,2024-03,151.60999999999999,0.05227975561672382,18953076,0.03361594941640422,4
2024-03-15,Banking,2024,3,1,Mar,2024-03,96.202,-0.006468627967370089,1429973,0.01284788546886879,5
2024-03-15,Cement,2024,3,1,Mar,2024-03,254.51250000000002,-0.0042340956847326805,2946125,0.01927251256349665,4
2024-03-15,Energy,2024,3,1,Mar,2024-03,85.34400000000001,-0.016615482848000962,12163470,0.03317234544962126,5
2024-03-15,Fertilizer,2024,3,1,Mar,2024-03,113.22,-0.0005085390617660945,2861745,0.018955850401721104,4
