date,ticker,sector,open,high,low,close,volume,company,year,month,quarter,week,month_name,yearmonth,daily_return,52w_high,52w_low,pct_from_52w_high,ma_30,volatility_30d
2023-05-29,ABL.KA,Banking,44.53,44.53,44.53,44.53,500,ABL,2023,5,2,22,May,2023-05,-0.00022451728783112745,46.15,37.61,-3.51,42.797333333333334,0.02103276901868623
2023-05-30,ABL.KA,Banking,44.66,44.66,44.53,44.53,13000,ABL,2023,5,2,22,May,2023-05,0.0,46.15,37.61,-3.51,42.92566666666667,0.02103624445049725
2023-05-31,ABL.KA,Banking,44.53,44.53,44.53,44.53,7000,ABL,2023,5,2,22,May,2023-05,0.0,46.15,37.61,-3.51,43.054,0.02103624445049725
2023-06-01,ABL.KA,Banking,44.53,44.53,44.53,44.53,6500,ABL,2023,6,2,22,Jun,2023-06,0.0,46.15,37.61,-3.51,43.18033333333334,0.021042208770483708
2023-06-02,ABL.KA,Banking,44.53,44.55,44.53,44.53,11500,ABL,2023,6,2,22,Jun,2023-06,0.0,46.15,37.61,-3.51,43.306666666666665,0.021042208770483708
2023-06-05,ABL.KA,Banking,44.53,44.56,44.53,44.56,1500,ABL,2023,6,2,23,Jun,2023-06,0.000673703121491176,46.15,37.61,-3.45,43.434,0.02103905705116801
2023-06-06,ABL.KA,Banking,44.53,44.86,44.53,44.57,4500,ABL,2023,6,2,23,Jun,2023-06,0.00022441651705551457,46.15,37.61,-3.42,43.561666666666675,0.02103791894284116
2023-06-07,ABL.KA,Banking,44.56,44.56,44.53,44.55,7000,ABL,2023,6,2,23,Jun,2023-06,-0.00044873233116449196,46.15,37.61,-3.47,43.714666666666666,0.020625707954174434
2023-06-08,ABL.KA,Banking,44.53,44.69,44.53,44.53,26000,ABL,2023,6,2,23,Jun,2023-06,-0.00044893378226706915,46.15,37.61,-3.51,43.83866666666667,0.0203721459646713
2023-06-09,ABL.KA,Banking,44.53,44.53,44.53,44.53,138500,ABL,2023,6,2,23,Jun,2023-06,0.0,46.15,37.61,-3.51,43.96333333333334,0.02036935647410563
2023-06-12,ABL.KA,Banking,43.2,43.86,43.2,43.86,1000,ABL,2023,6,2,24,Jun,2023-06,-0.015046036379968597,46.15,37.61,-4.96,44.065666666666665,0.020632502471441844
2023-06-13,ABL.KA,Banking,44.53,44.53,44.53,44.53,243500,ABL,2023,6,2,24,Jun,2023-06,0.015275877792977788,46.15,37.61,-3.51,44.10233333333334,0.01718836898807627
2023-06-14,ABL.KA,Banking,44.53,44.53,44.53,44.53,9000,ABL,2023,6,2,24,Jun,2023-06,0.0,46.15,37.61,-3.51,44.172333333333334,0.016583091879921373
2023-06-15,ABL.KA,Banking,44.53,44.53,44.52,44.53,157500,ABL,2023,6,2,24,Jun,2023-06,0.0,46.15,37.61,-3.51,44.225,0.016465742364145438
2023-06-16,ABL.KA,Banking,44.53,44.53,44.52,44.52,251500,ABL,2023,6,2,24,Jun,2023-06,-0.0002245677071636143,46.15,37.61,-3.53,44.26033333333333,0.01634643745007643
2023-06-19,ABL.KA,Banking,45.19,45.19,44.53,45.13,1044500,ABL,2023,6,2,25,Jun,2023-06,0.013701707097933502,46.15,37.61,-2.21,44.324666666666666,0.016454040449709686
2023-06-20,ABL.KA,Banking,43.87,43.87,43.53,43.53,1000,ABL,2023,6,2,25,Jun,2023-06,-0.03545313538666084,46.15,37.61,-5.68,44.335666666666675,0.01779087225526377
2023-06-21,ABL.KA,Banking,43.53,43.53,43.53,43.53,0,ABL,2023,6,2,25,Jun,2023-06,0.0,46.15,37.61,-5.68,44.34666666666667,0.01779087225526377
2023-06-22,ABL.KA,Banking,43.6,43.6,43.6,43.6,500,ABL,2023,6,2,25,Jun,2023-06,0.0016080863772112153,46.15,37.61,-5.53,44.36,0.01779202928622602
2023-06-23,ABL.KA,Banking,43.53,43.64,43.53,43.54,19000,ABL,2023,6,2,25,Jun,2023-06,-0.0013761467889908952,46.15,37.61,-5.66,44.366,0.01778426135306808
2023-06-26,ABL.KA,Banking,43.54,43.54,43.54,43.54,0,ABL,2023,6,2,26,Jun,2023-06,0.0,46.15,37.61,-5.66,44.35533333333333,0.01765708665214858
